;
2019-2020 :; Professeur d'anglais à l'École Estienne (Paris 75013)
2019-2020 :; Business English (3TD) à l'IPAG (Paris 75006)
2014-2019 :; Professeur d’angais au lycée Gabriel FAURÉ (Paris 75013)
2014-2019 :; Préparation à l’épreuve d’anglais du Concours Science Po Paris à Gabriel Fauré (2018)
2014-2019 :; Professeur principal en Terminale ES (2018)
2014-2019 :; Professeur principal en Terminale L (2017)
2016 :; séminAire d'introduction aux statistiques et à $R$ à Paris Diderot 
2013-2014 :; Professeur d’anglais à l’École Nationale Supérieure des Arts Appliqués et des Métiers d’Art (ENSAAMA) 
2013-2014 :; Professeur d’anglais à au collège Buffon (Paris 75015)
2012-2013 :; Professeur d’anglais au lycée Carnot (Paris 75017)
2012 :; chargé de TD pour un cours d’oral et de phonologie anglaise à des étudiants de L2 à l’université Paris Diderot.
2011-2012 :; Lecteur à l’université de Berkeley, Californie.
2010-2011 :; Lecteur à Queens’ College, Cambridge (Royaume-Uni)
2009-2010 :; Professeur d’anglais au lycée Georges Brassens (Paris 75019)
2009-2010 :; Professeur d’anglais au collège Edgar Varèse (Paris 75019)
2001-2009 :; Professeur d’anglais à Sainte-Croix-de-Neuilly (Neuilly 92200)
2001-2009 :; Niveaux : collège, lycée et classes préparatoires commerciales en 2008
2001-2009 :; Créateur d’un échange de Troisièmes avec l’école The Perse à Cambridge (Royaume-Uni)
2001-2009 :; Professeur principal en Première pendant deux ans.
2004-2006 :; Chargé de TD (grammaire et traduction) en L3 de Sciences de l’Éducation à l’université de Paris-Villetaneuse
1998-2000 :; Professeur d’anglais remplaçant aux collèges et lycées des Oiseaux (Paris 75016)
